0;государственный симфонический оркестр госкино ссср;{"title": "Государственный симфонический оркестр Госкино СССР", "id": 7497148}
1;государственный симфонический оркестр кинематографии;{"title": "Государственный симфонический оркестр кинематографии СССР", "id": 6937633}
2;государственный симфонический оркестр ссср;{"title": "Государственный академический симфонический оркестр СССР", "id": 5484474}
3;градусы;{"title": "Градусы", "id": 4570763}
4;григорий лепс,лепс,лепса;{"title": "Григорий Лепс", "id": 4369388}
5;грин дей,грин дэй;{"title": "Green Day", "id": 52}
6;гриша ургант,ургант,урганта;{"title": "Гриша Ургант", "id": 10181674}
7;дафт панк;{"title": "Daft Punk", "id": 27}
8;ддт;{"title": "ДДТ", "id": 4487263}
9;денис мацуев,мацуев,мацуева;{"title": "Denis Matsuev", "id": 71345}
10;депеш мод,депешмод;{"title": "Depeche Mode", "id": 545}
11;джастин бибер,джастина бибера;{"title": "Justin Bieber", "id": 288166}
12;джастин тимберлейк,джастина тимберлейка,джастин,тимберлейк;{"title": "Justin Timberlake", "id": 1147}
13;дженнифер лопез,дженнифер лопес,лопес,лопез;{"title": "Jennifer Lopez", "id": 45}
14;джими хендрикс,хендрикс,хендрикса,джимми хендрикса;{"title": "Jimi Hendrix", "id": 849}
15;джон леннон,леннон,джона леннона,леннона;{"title": "John Lennon", "id": 226}
16;диана арбенина,арбенина,арбенину,ночные снайперы,ночных снайперов;{"title": "Диана Арбенина", "id": 5045529}
17;диана гурцкая,гурцкая,гурцкую;{"title": "Diana Gurtskaja", "id": 4930180}
18;дима билан,билан,билана;{"title": "Дима Билан", "id": 808834}
19;дип перпл,дип пепл,пепл;{"title": "Deep Purple", "id": 864}
20;дискотека авария,дискотеку аварию;{"title": "Дискотека Авария", "id": 4237487}
21;дмитрий бикбаев,бикбаев,бикбаева;{"title": "Дмитрий Бикбаев", "id": 5250075}
22;дмитрий колдун,колдун,колдуна;{"title": "Дмитрий Колдун", "id": 4322556}
23;дмитрий маликов,маликов,маликова;{"title": "Дмитрий Маликов", "id": 4435837}
24;дмитрий певцов,певцов,певцова;{"title": "Дмитрий Певцов", "id": 5407750}
25;дмитрий харатьян,харатьян,харатьяна;{"title": "Дмитрий Харатьян", "id": 4991354}
26;дмитрий хворостовский,хворостовский,хворостовского;{"title": "Дмитрий Хворостовский", "id": 4520988}
27;дмитрий шостакович,шостакович,шостаковича;{"title": "Дмитрий Шостакович", "id": 4866276}
28;дэвид гуета,дэвида гуету,дэвида гуй эта,дэвида гуй эту;{"title": "David Guetta", "id": 542}
29;ева польна,еву польну;{"title": "Ева Польна", "id": 4153477}
30;евгений дога;{"title": "Инструментальный Ансамбль Евгения Доги", "id": 13013809}
31;евгений дятлов,дятлова,дятлов;{"title": "Евгений Дятлов", "id": 5835409}
32;евгений крылатов,крылатов,крылатова;{"title": "Евгений Крылатов", "id": 4726051}
33;егор крид,егора крида;{"title": "Егор Крид", "id": 5532315}
34;егор крид,крида;{"title": "Егор Крид", "id": 5532315}
35;елена темникова,темникова,темникову;{"title": "Елена Темникова", "id": 7100349}
36;елена терлеева,терлеева,терлееву;{"title": "Елена Терлеева", "id": 4521500}
37;елка,елку;{"title": "Elka (Елка)", "id": 1384748}
38;жанна фриске,жанну фриске,фриске;{"title": "Жанна Фриске", "id": 5479773}
39;женя любич,любич;{"title": "Женя Любич", "id": 4333153}
40;звери,зверей;{"title": "Звери", "id": 4487262}
41;звуки му;{"title": "Звуки Му", "id": 5371034}
42;зе битлз,битлз,битлы;{"title": "The Beatles", "id": 1}
43;земляне;{"title": "Земляне", "id": 4848977}
44;земфира,земфиру;{"title": "Земфира", "id": 4913467}
45;зимовье зверей;{"title": "Зимовье Зверей", "id": 4654256}
46;зоопарк;{"title": "Зоопарк", "id": 4347491}
47;иван дорн,дорн,дорна;{"title": "Иван Дорн", "id": 4153472}
48;иван дорн,ивана дорна,дорна;{"title": "Иван Дорн", "id": 4153472}
49;игги поп,игги попа,иди попу,иди попа;{"title": "Iggy Pop", "id": 868}
50;игорь бутман,бутман,бутмана;{"title": "Игорь Бутман", "id": 5380917}
51;игорь скляр,скляр,скляра;{"title": "Игорь Скляр", "id": 5850271}
52;игорь тальков,тальков,талькова;{"title": "Игорь Тальков", "id": 5215711}
53;илья лагутенко,лагутенко;{"title": "Илья Лагутенко", "id": 4476726}
54;имаджин дрэгонс,имэджин дрэгонс;{"title": "Imagine Dragons", "id": 416239}
55;инь-ян;{"title": "Инь-Ян", "id": 4490231}
56;ирина аллегрова,аллегрова,аллегрову,алегрова,алегрову;{"title": "Ирина Аллегрова", "id": 5325126}
57;ирина дубцова,дубцова,дубцову;{"title": "Ирина Дубцова", "id": 4982338}
58;катя лель,лель;{"title": "Катя Лель", "id": 4392944}
59;квест пистолс,west pistols;{"title": "Quest Pistols Show", "id": 7083569}
60;квин,меркюри,мэркюри,куин;{"title": "Queen", "id": 412}
61;кети перри,кейти перри;{"title": "Katy Perry", "id": 144227}
62;кино;{"title": "Кино", "id": 4505880}
63;кипелов,кипелова;{"title": "Кипелов", "id": 7078873}
64;киркоров,киркорова;{"title": "Филипп Киркоров", "id": 4490150}
65;конец фильма;{"title": "Конец фильма", "id": 4409585}
66;король и шут,короля и шута;{"title": "Король и Шут", "id": 4237492}
67;кристина агилера,агилера,агилеру,кристину агилеру;{"title": "Christina Aguilera", "id": 116}
68;кристина орбакайте,орбакайте;{"title": "Кристина Орбакайте", "id": 4179117}
69;курт кобейн,кобейн,кобейна,курта кобейна;{"title": "Kurt Cobain", "id": 3801831}
70;лариса долина,долина,долину;{"title": "Лариса Долина", "id": 4520883}
71;лев лещенко,лещенко;{"title": "Лев Лещенко", "id": 4943390}
72;лед зепелин,лет зеппелин;{"title": "Led Zeppelin", "id": 848}
73;леди гага,гага,леди гагу,гагу;{"title": "Lady Gaga", "id": 75491}
74;ленинградский концертный оркестр;{"title": "Ленинградский концертный оркестр", "id": 5585947}
75;ленинградский театр юного зрителя;{"title": "Ленинградский театр юного зрителя", "id": 5587099}
76;леонид агутин,агутин,агутина;{"title": "Леонид Агутин", "id": 4520857}
77;леонид утесов,утесов,утесова;{"title": "Леонид Утесов", "id": 5202502}
78;леонид федоров,федоров,федорова;{"title": "Леонид Федоров", "id": 6215388}
79;леприконсы;{"title": "Леприконсы", "id": 4512072}
80;лепс,лепса;{"title": "Григорий Лепс", "id": 4369388}
81;лера массква;{"title": "Лера Массква", "id": 5424188}
82;лимп бизкит;{"title": "Limp Bizkit", "id": 93}
83;линда,линду;{"title": "Линда", "id": 4615525}
84;линкин парк;{"title": "Linkin Park", "id": 92}
85;м бенд,м бэнд;{"title": "MBAND", "id": 7138167}
86;мадонна,мадонну;{"title": "Madonna", "id": 290}
87;майкл джексон,майкла джексона;{"title": "Michael Jackson", "id": 259}
88;майли сайрус,мали сайрус;{"title": "Miley Cyrus", "id": 12436}
89;макс корж,корж,коржа;{"title": "Макс Корж", "id": 5014953}
90;максим;{"title": "Maksim", "id": 242018}
91;ману чао;{"title": "Manu Chao", "id": 6}
92;марина хлебникова,хлебникова,хлебникову;{"title": "Марина Хлебникова", "id": 5139030}
93;марк бернес,бернеса,бернеса;{"title": "Марк Бернес", "id": 5297639}
94;марун файф,марон файф,марон файв,марин файв;{"title": "Maroon 5", "id": 1188}
95;массив атак;{"title": "Massive Attack", "id": 612}
96;машина времени,машину времени;{"title": "Машина Времени", "id": 4329392}
97;металика,металику,металика,металлика,металлику;{"title": "Metallica", "id": 119}
98;мика ньютон,ньютон;{"title": "Мика Ньютон", "id": 5833430}
99;микаэл таривердиев,таривердиев,таривердиева;{"title": "Микаэл Таривердиев", "id": 4943391}
100;милен фармер,милен фор мэр,милен former;{"title": "Mylène Farmer", "id": 358}
101;мираж;{"title": "Мираж", "id": 4520870}
102;михаил боярский,боярский,боярского;{"title": "Михаил Боярский", "id": 4982357}
103;михей и джуманджи;{"title": "Михей и Джуманджи", "id": 4374781}
104;моби,mobi;{"title": "Moby", "id": 493}
105;моральный кодекс;{"title": "Моральный Кодекс (Moralnyj Kodeks)", "id": 4349102}
106;московский ансамбль современной музыки;{"title": "Московский Ансамбль Современной Музыки", "id": 8007214}
107;моцарт,моцарта;{"title": "Wolfgang Amadeus Mozart", "id": 5695}
108;мстислав ростропович,ростропович,ростроповича;{"title": "Мстислав Ростропович", "id": 10071196}
109;музыкальный коллектив петра налича,налич,налича;{"title": "Музыкальный Коллектив Петра Налича", "id": 4394820}
110;мумий тролль,муми тролля;{"title": "Mumiy Troll", "id": 296604}
111;мурат насыров,насыров,насырова;{"title": "Мурат Насыров", "id": 4795711}
112;муслим магомаев,магомаев,магомаева;{"title": "Муслим Магомаев", "id": 5264408}
113;мьюз;{"title": "Muse", "id": 705}
114;мэрилин мэнсон,мэрлин мэнсон,мэрилина мэнсона,мэрлина мэнсона;{"title": "Marilyn Manson", "id": 482}
115;найк борзов,борзов,борзова;{"title": "Найк Борзов", "id": 4329394}
116;нани брегвадзе,брегвадзе;{"title": "Нани Брегвадзе", "id": 4549747}
117;наталья подольская,подольская,подольскую;{"title": "Наталья Подольская", "id": 4179283}
118;наутилус помпилиус,наутилус,наутилуса;{"title": "Наутилус Помпилиус", "id": 4179069}
119;нейромонах феофан,феофан,нейромонах,феофана,нейромонаха;{"title": "Нейромонах Феофан", "id": 7367144}
120;несчастный случай;{"title": "Несчастный случай", "id": 5613844}
121;николай басков,басков,баскова;{"title": "Николай Басков", "id": 4543697}
122;николай караченцов,караченцов,караченцова;{"title": "Николай Караченцов", "id": 5312825}
123;николай расторгуев,расторгуев,расторгуева;{"title": "Николай Расторгуев", "id": 5380689}
124;нирвана,нирвану;{"title": "Nirvana", "id": 415}
125;ногу свело;{"title": "Ногу Свело!", "id": 4315467}
126;нойз эмси;{"title": "Noize MC", "id": 148130}
127;ночные снайперы,ночных снайперов,снайперы,снайперов;{"title": "Ночные Снайперы", "id": 4023674}
128;ночные снайперы,ночных снайперов;{"title": "Ночные Снайперы", "id": 4023674}
129;нюша,нюшу;{"title": "Нюша", "id": 4153481}
130;обе две;{"title": "Обе Две", "id": 6459791}
131;океан ельзи,океан эльзы;{"title": "Океан Ельзи", "id": 796042}
132;олег анофриев;{"title": "Олег Анофриев", "id": 4991356}
133;олег газманов,газманов,газманова;{"title": "Олег Газманов", "id": 4476254}
134;олег митяев,митяев,митяева;{"title": "Олег Митяев", "id": 5175857}
135;оркестр большого театра;{"title": "Оркестр Большого театра", "id": 5298501}
136;отпетые мошенники,отпетых мошенников;{"title": "Отпетые Мошенники", "id": 4566971}
137;офенбах;{"title": "Ofenbach", "id": 6032634}
138;пелагея,пелагею;{"title": "Пелагея", "id": 4316837}
139;песняры,песняров;{"title": "Песняры", "id": 4535526}
140;пикник;{"title": "Пикник", "id": 4329396}
141;пинк флойд,пинкфлойд;{"title": "Pink Floyd", "id": 860}
142;пласибо,плацебо;{"title": "Placebo", "id": 8}
143;полина гагарина,полину гагарину;{"title": "Полина Гагарина", "id": 4398405}
144;потан,потапа,потап и настя;{"title": "Потап и Настя", "id": 4188637}
145;премьер министр;{"title": "Премьер-Министр", "id": 4982584}
146;продиджи;{"title": "The Prodigy", "id": 85}
147;пропаганда,пропаганду;{"title": "Пропаганда", "id": 4322565}
148;пугачева,пугачеву;{"title": "Алла Пугачёва", "id": 4369158}
149;пётр дранга,дранга,дрангу;{"title": "Пётр Дранга", "id": 4867639}
150;радиохед,радиохэд;{"title": "Radiohead", "id": 399}
151;рамштайн;{"title": "Rammstein", "id": 464}
152;расмус;{"title": "The Rasmus", "id": 84}
153;ред хот чили пеперс,рэд хот чили пеперс,redhat chili peppers;{"title": "Red Hot Chili Peppers", "id": 182}
154;рианна,риану,рианну,рианну;{"title": "Rihanna", "id": 564}
155;рижский эстрадный оркестр;{"title": "Рижский эстрадный оркестр", "id": 5645787}
156;робби уильямс,робби вильямс,роби вильямса,роби уильямса;{"title": "Robbie Williams", "id": 212}
157;ролинг стоунс,роллинг стоунс,ролингстоунс,роллингстоунс,ролинги,ролингов,джаггера,джагера,джагер,джаггер;{"title": "The Rolling Stones", "id": 11}
158;российский государственный симфонический оркестр кинематографии;{"title": "Российский Государственный симфонический оркестр кинематографии", "id": 10058668}
159;российский национальный оркестр;{"title": "Российский Национальный оркестр", "id": 8155190}
160;руки вверх,руки верх;{"title": "Руки Вверх", "id": 4237484}
